1-0,The Terrible Secret of Turtle Bay,25:06:00
1-1,Dia de los Dangerous,22:11:00
1-2,Careers in Science,21:36:00
1-3,Home Insecurity,22:22:00
1-4,The Incredible Mr. Brisby,22:29:00
1-5,"Eeney, Meeney, Miney... Magic!",22:36:00
1-6,Ghosts of the Sargasso,23:02:00
1-7,Ice Station Impossible,22:37:00
1-8,Mid-Life Chrysalis,22:10:00
1-9,"Are You There God, It's Me, Dean",22:34:00
1-10,Tag-Sale: You're It!,22:31:00
1-11,Past Tense,22:35:00
1-12,The Trial of the Monarch,22:30:00
1-13,Return to Spider-Skull Island,23:38:00
2-1,Powerless in the Face of Death ,22:53:00
2-2,Hate Floats,22:45:00
2-3,Assassinanny 911 ,23:02:00
2-4,Escape to the House of Mummies Part II ,22:39:00
2-5,Twenty Years to Midnight,22:42:00
2-6,Victor. Echo. November. ,22:42:00
2-7,Love-Bheits ,22:39:00
2-8,Fallen Arches,22:42:00
2-9,Guess Who's Coming to State Dinner? ,22:48:00
2-10,I Know Why the Caged Bird Kills ,22:39:00
2-11,Â¡Viva los muertos! ,22:42:00
2-12,Showdown at Cremation Creek: Part 1 ,22:42:00
2-13,Showdown at Cremation Creek: Part 2 ,23:08:00
3-1,Shadowman 9: In the Cradle of Destiny,23:40:00
3-2,The Doctor Is Sin,22:43:00
3-3,The Invisible Hand of Fate ,22:50:00
3-4,Home Is Where the Hate Is,22:48:00
3-5,The Buddy System ,22:51:00
3-6,"Dr. Quymn, Medicine Woman ",22:48:00
3-7,What Goes Down Must Come Up ,22:52:00
3-8,Tears of a Sea Cow,22:41:00
3-9,Now Museum - Now You Don't! ,22:43:00
3-10,The Lepidopterists,21:46:00
3-11,ORB ,22:53:00
3-12,"The Family That Slays Together, Stays Together: Part 1 ",23:02:00
3-13,"The Family That Slays Together, Stays Together: Part 2",23:08:00
4-1,"Blood of the Father, Heart of Steel",23:37:00
4-2,Handsome Ransom ,22:51:00
4-3,Perchance to Dean ,22:43:00
4-4,Return to Malice ,22:50:00
4-5,The Revenge Society ,22:52:00
4-6,Self-Medication ,22:47:00
4-7,The Better Man ,22:59:00
4-8,Pinstripes and Poltergeists ,22:24:00
4-9,The Diving Bell vs. the Butterglider,22:50:00
4-10,Pomp and Circuitry ,22:54:00
4-11,Every Which Way But Zeus,22:49:00
4-12,Everybody Comes to Hank's ,21:15:00
4-13,"Bright Lights, Dean City",22:50:00
4-14,Assisted Suicide ,22:45:00
4-15,The Silent Partners ,22:45:00
4-16,Operation P.R.O.M. ,45:26:00
5-0,A Very Venture Halloween ,22:30:00
5-1,What Color Is Your Cleansuit?,45:05:00
5-2,Venture Libre,22:33:00
5-3,Sphinx Rising,22:35:00
5-4,Spanakopita ,22:33:00
5-5,O.S.I. Love You ,22:29:00
5-6,Momma's Boys ,22:27:00
5-7,Bot Seeks Bot,22:34:00
5-8,The Devil's Grip ,22:36:00
6-0,All This and Gargantua-2 ,47:18:00
6-1,Hostile Makeover ,23:01:00
6-2,Maybe No Go ,22:32:00
6-3,Faking Miracles ,22:31:00
6-4,Rapacity in Blue,22:35:00
6-5,Tanks for Nuthin' ,22:31:00
6-6,It Happening One Night,22:35:00
6-7,A Party for Tarzan ,22:35:00
6-8,Red Means Stop ,22:27:00
7-1,The Venture Bros. and the Curse of the Haunted Problem ,22:31:00
7-2,The Rorqual Affair ,22:39:00
7-3,Arrears in Science ,23:35:00
7-4,The High Cost of Loathing,22:35:00
7-5,The Inamorata Consequence ,22:35:00
7-6,The Bellicose Proxy ,22:03:00
7-7,The Unicorn in Captivity,22:36:00
7-8,The Terminus Mandate,22:34:00
7-9,The Forecast Manufacturer,22:31:00
7-10,The Saphrax Protocol ,22:33:00
